Pseudo-terminal will not be allocated because stdin is not a terminal.
Warning: Permanently added '[a.pinggy.io]:443' (RSA) to the list of known hosts.
Allocated port 6 for remote forward to localhost:3000
You are not authenticated.
Your tunnel will expire in 60 minutes. Upgrade to Pinggy Pro to get unrestricted tunnels. https://dashboard.pinggy.io
http://dqphk-182-95-186-78.run.pinggy-free.link
http://edcza-182-95-186-78.free.pinggy.net
https://dqphk-182-95-186-78.run.pinggy-free.link
https://edcza-182-95-186-78.free.pinggy.net

RB: 0, SB: 0, TC: 0, AC: 0               
RB: 0, SB: 0, TC: 0, AC: 0               
RB: 399, SB: 288, TC: 1, AC: 1               
RB: 399, SB: 288, TC: 1, AC: 0               
RB: 399, SB: 288, TC: 2, AC: 1               
RB: 399, SB: 288, TC: 1, AC: 0               
RB: 399, SB: 288, TC: 1, AC: 4294967295               
RB: 399, SB: 288, TC: 2, AC: 0               
RB: 399, SB: 288, TC: 2, AC: 4294967295               
RB: 399, SB: 288, TC: 3, AC: 0               
RB: 399, SB: 288, TC: 3, AC: 0               
RB: 399, SB: 288, TC: 3, AC: 0               
RB: 994, SB: 576, TC: 2, AC: 1               
RB: 994, SB: 576, TC: 2, AC: 1               
RB: 994, SB: 576, TC: 2, AC: 1               
RB: 1573, SB: 846, TC: 3, AC: 2               
RB: 1611, SB: 880, TC: 3, AC: 2               
RB: 1611, SB: 880, TC: 3, AC: 1               
RB: 1611, SB: 880, TC: 4, AC: 2               
RB: 1611, SB: 880, TC: 3, AC: 1               
RB: 1611, SB: 883, TC: 3, AC: 1               
RB: 1618, SB: 883, TC: 3, AC: 1               
RB: 1724, SB: 941, TC: 3, AC: 1               
RB: 1844, SB: 941, TC: 3, AC: 1               
RB: 1844, SB: 1000, TC: 3, AC: 1               
RB: 1851, SB: 1003, TC: 3, AC: 1               
RB: 1851, SB: 1066, TC: 3, AC: 1               
RB: 1950, SB: 1066, TC: 3, AC: 1               
RB: 1950, SB: 1130, TC: 3, AC: 1               
RB: 2050, SB: 1130, TC: 3, AC: 1               
RB: 2057, SB: 1133, TC: 3, AC: 1               
RB: 2057, SB: 1198, TC: 3, AC: 1               
RB: 2158, SB: 1198, TC: 3, AC: 1               
RB: 2158, SB: 1262, TC: 3, AC: 1               
RB: 2259, SB: 1262, TC: 3, AC: 1               
RB: 2259, SB: 1326, TC: 3, AC: 1               
RB: 2259, SB: 1329, TC: 3, AC: 1               
RB: 2266, SB: 1329, TC: 3, AC: 1               
RB: 2366, SB: 1329, TC: 3, AC: 1               
RB: 2466, SB: 1329, TC: 3, AC: 1               
RB: 2466, SB: 1393, TC: 3, AC: 1               
RB: 2566, SB: 1393, TC: 3, AC: 1               
RB: 2566, SB: 1457, TC: 3, AC: 1               
RB: 2573, SB: 1460, TC: 3, AC: 1               
RB: 2674, SB: 1460, TC: 3, AC: 1               
RB: 2674, SB: 1525, TC: 3, AC: 1               
RB: 2775, SB: 1525, TC: 3, AC: 1               
RB: 2775, SB: 1590, TC: 3, AC: 1               
RB: 2775, SB: 1656, TC: 3, AC: 1               
RB: 2877, SB: 1656, TC: 3, AC: 1               
RB: 2884, SB: 1659, TC: 3, AC: 1               
RB: 2884, SB: 1722, TC: 3, AC: 1               
RB: 2984, SB: 1722, TC: 3, AC: 1               
RB: 2984, SB: 1789, TC: 3, AC: 1               
RB: 3087, SB: 1789, TC: 3, AC: 1               
RB: 3189, SB: 1789, TC: 3, AC: 1               
RB: 3189, SB: 1856, TC: 3, AC: 1               
RB: 3292, SB: 1856, TC: 3, AC: 1               
RB: 3292, SB: 1920, TC: 3, AC: 1               
RB: 3292, SB: 1984, TC: 3, AC: 1               
RB: 3393, SB: 1984, TC: 3, AC: 1               
RB: 3400, SB: 1987, TC: 3, AC: 1               
RB: 3407, SB: 1990, TC: 3, AC: 1               
RB: 3407, SB: 1990, TC: 3, AC: 0               
RB: 3407, SB: 1990, TC: 4, AC: 1               
RB: 3407, SB: 1990, TC: 3, AC: 0               
RB: 3407, SB: 1990, TC: 3, AC: 0               
RB: 3407, SB: 1990, TC: 4, AC: 1               
RB: 3407, SB: 1990, TC: 4, AC: 1               
RB: 3940, SB: 2260, TC: 4, AC: 1               
RB: 3970, SB: 2294, TC: 4, AC: 1               
RB: 3970, SB: 2294, TC: 4, AC: 1               
RB: 4412, SB: 2294, TC: 5, AC: 2               
RB: 4412, SB: 2294, TC: 5, AC: 2               
RB: 4412, SB: 2582, TC: 5, AC: 2               
RB: 4412, SB: 2582, TC: 5, AC: 2               
RB: 4412, SB: 2582, TC: 5, AC: 2               
RB: 4998, SB: 2852, TC: 6, AC: 3               
RB: 5036, SB: 2886, TC: 6, AC: 3               
RB: 5036, SB: 2889, TC: 6, AC: 3               
RB: 5036, SB: 2889, TC: 6, AC: 2               
